Código IBGE;Município;UF;Operadora;Tecnologia;% área coberta;% moradores cobertos;% domicílios cobertos;Área km2;Moradores;Domicílios
1600238;Ferreira Gomes;AP;Todas;2G;0,00;0,00;0,00;5046,695377;5741;1330
1600535;Porto Grande;AP;Todas;2G;0,00;0,00;0,00;4401,793462;16713;4123
3145505;Olímpio Noronha;MG;Todas;2G;0,00;0,00;0,00;54,632982;2532;798
1400027;Amajari;RR;Todas;2G;0,02;13,11;14,67;28472,340131;9300;2108
2208908;Ribeiro Gonçalves;PI;Todas;2G;0,05;47,85;49,30;3978,918158;6798;1642
1304104;Tapauá;AM;Todas;2G;0,11;55,83;59,06;89325,126086;19047;3894
1300201;Atalaia do Norte;AM;Todas;2G;0,11;46,61;44,73;76351,640344;15076;2885
1300409;Barcelos;AM;Todas;2G;0,13;46,96;52,52;122476,1266;23113;4443
5108907;Nova Maringá;MT;Todas;2G;0,14;46,29;46,10;11557,296158;6445;1872
1303809;São Gabriel da Cachoeira;AM;Todas;2G;0,15;46,69;50,01;109184,645002;37666;7490
5105309;Luciara;MT;Todas;2G;0,15;65,85;66,16;4243,008026;2216;656
1500602;Altamira;PA;Todas;2G;0,17;78,96;79,01;159533,182988;98285;26427
2209153;Santa Cruz dos Milagres;PI;Todas;2G;0,18;44,38;46,18;979,652307;3776;1049
1302306;Jutaí;AM;Todas;2G;0,21;59,51;61,85;69551,827473;17932;3165
3132008;Itacambira;MG;Todas;2G;0,21;13,69;14,85;1788,445288;4965;1280
1303601;Santa Isabel do Rio Negro;AM;Todas;2G;0,22;37,92;46,73;62846,410478;17968;2606
1400159;Bonfim;RR;Todas;2G;0,23;16,34;17,71;8095,373262;10885;2507
1302405;Lábrea;AM;Todas;2G;0,23;64,75;65,44;68233,829121;37505;8128
1300144;Apuí;AM;Todas;2G;0,24;59,77;59,96;54239,829114;17946;4606
1500701;Anajás;PA;Todas;2G;0,24;38,39;39,91;6921,760039;24675;4853
1303502;Pauini;AM;Todas;2G;0,26;51,45;58,28;41609,832419;18097;3049
2201150;Baixa Grande do Ribeiro;PI;Todas;2G;0,26;61,66;62,87;7809,011313;10474;2520
3134707;Jacinto;MG;Todas;2G;0,26;0,03;0,04;1393,609054;12045;3738
1302108;Japurá;AM;Todas;2G;0,27;44,72;45,90;55792,023055;7252;1265
1303304;Novo Aripuanã;AM;Todas;2G;0,29;65,75;62,96;41186,68998;21326;4255
1300904;Canutama;AM;Todas;2G;0,31;52,67;47,61;29819,776585;12733;2955
1301209;Coari;AM;Todas;2G;0,32;66,04;69,25;57921,953035;75521;15151
1302702;Manicoré;AM;Todas;2G;0,32;43,83;45,80;48282,982573;46841;9538
3162708;São João do Paraíso;MG;Todas;2G;0,33;33,20;35,60;1925,575425;22283;6026
1507300;São Félix do Xingu;PA;Todas;2G;0,33;38,14;38,70;84212,141833;90545;22357
1503754;Jacareacanga;PA;Todas;2G;0,35;38,31;46,38;53303,275428;12375;2291
1600501;Oiapoque;AP;Todas;2G;0,36;67,33;73,66;22625,182204;19957;4643
1400209;Caracaraí;RR;Todas;2G;0,37;59,55;60,50;47411,084528;18236;4436
1400472;Rorainópolis;RR;Todas;2G;0,39;45,98;51,12;33594,034577;24031;5935
3136801;Juramento;MG;Todas;2G;0,40;17,99;18,09;431,629568;4108;1199
3143450;Montezuma;MG;Todas;2G;0,40;0,16;0,13;1130,419236;7455;1893
3157609;Santa Fé de Minas;MG;Todas;2G;0,40;57,52;55,32;2917,448495;3939;1152
3160306;Santo Antônio do Jacinto;MG;Todas;2G;0,41;43,08;42,75;503,37589;11737;3574
1503606;Itaituba;PA;Todas;2G;0,41;78,31;77,66;62041,581148;95840;23581
3120102;Couto de Magalhães de Minas;MG;Todas;2G;0,42;1,35;1,32;485,653717;4188;1218
1303106;Nova Olinda do Norte;AM;Todas;2G;0,42;7,69;9,10;5608,569207;30321;5570
1400050;Alto Alegre;RR;Todas;2G;0,42;29,69;34,25;25567,013668;16418;3700
5102603;Campinápolis;MT;Todas;2G;0,43;29,00;47,49;5967,354979;14295;2910
1505031;Novo Progresso;PA;Todas;2G;0,45;71,26;71,15;38159,844954;24983;6923
1302900;Maués;AM;Todas;2G;0,45;50,44;52,54;39988,55132;52045;10004
1600279;Laranjal do Jari;AP;Todas;2G;0,45;95,03;95,05;30972,039381;39752;9830
1505304;Oriximiná;PA;Todas;2G;0,46;69,85;71,50;107603,291449;62658;13673
1503002;Faro;PA;Todas;2G;0,46;65,50;64,88;11770,626393;8145;1710
3144656;Ninheira;MG;Todas;2G;0,48;10,64;11,86;1108,268906;9805;2588
2111052;São João do Paraíso;MA;Todas;2G;0,48;45,20;47,58;2053,843852;10808;2874
3132305;Itaipé;MG;Todas;2G;0,50;2,25;2,42;480,829339;11762;3052
5103858;Gaúcha do Norte;MT;Todas;2G;0,50;35,19;45,38;16930,665365;6221;1517
5100805;Apiacás;MT;Todas;2G;0,54;75,84;75,15;20377,507;8253;2464
3143153;Monte Formoso;MG;Todas;2G;0,55;0,30;0,27;385,552787;4646;1223
1300805;Borba;AM;Todas;2G;0,59;41,92;45,18;44251,101411;34906;6651
2111607;São Raimundo das Mangabeiras;MA;Todas;2G;0,60;71,86;72,11;3521,492881;17430;4438
1101450;Parecis;RO;Todas;2G;0,60;37,88;38,89;2548,692737;4758;1389
1302801;Maraã;AM;Todas;2G;0,61;50,18;50,13;16910,371344;17496;2793
1500503;Almeirim;PA;Todas;2G;0,61;68,10;70,70;72954,806222;33433;7862
1302207;Juruá;AM;Todas;2G;0,61;53,52;57,24;19400,62224;10763;2043
1303700;Santo Antônio do Içá;AM;Todas;2G;0,62;53,11;55,05;12307,374391;24371;3992
1301001;Carauari;AM;Todas;2G;0,62;79,21;81,79;25767,677683;25700;5240
1300839;Caapiranga;AM;Todas;2G;0,62;27,13;28,09;9456,611008;10924;2223
1301704;Humaitá;AM;Todas;2G;0,62;69,28;71,80;33071,669378;44045;9825
5103254;Colniza;MT;Todas;2G;0,63;52,48;53,71;27947,907943;25936;7640
3117009;Comercinho;MG;Todas;2G;0,63;0,23;0,23;654,960847;8292;2396
1717909;Ponte Alta do Tocantins;TO;Todas;2G;0,63;63,20;61,47;6491,131;7155;2028
3151909;Pocrane;MG;Todas;2G;0,64;35,30;35,66;691,065545;8942;3011
1710508;Itacajá;TO;Todas;2G;0,64;60,33;65,64;3051,358131;7088;1880
1400704;Uiramutã;RR;Todas;2G;0,65;8,03;8,50;8065,563119;8364;1444
1200302;Feijó;AC;Todas;2G;0,66;53,48;58,23;27975,251518;32301;7037
5213772;Montividiu do Norte;GO;Todas;2G;0,66;34,08;35,08;1332,997209;3972;1238
1505106;Óbidos;PA;Todas;2G;0,67;53,96;55,92;28021,487051;48976;11254
3166402;Seritinga;MG;Todas;2G;0,67;0,13;0,13;114,76929;1788;576
1100106;Guajará-Mirim;RO;Todas;2G;0,67;84,36;86,36;24855,762656;40036;10684
5107859;São Félix do Araguaia;MT;Todas;2G;0,68;50,03;52,13;16713,490553;10588;3293
5107578;Rondolândia;MT;Todas;2G;0,68;40,85;44,91;12670,225078;3583;970
5101407;Aripuanã;MT;Todas;2G;0,68;62,84;62,41;25056,793165;18437;5372
1501006;Aveiro;PA;Todas;2G;0,68;19,39;19,62;17074,729511;15801;3436
1502764;Cumaru do Norte;PA;Todas;2G;0,69;29,17;30,74;17084,99958;9976;2640
1200500;Sena Madureira;AC;Todas;2G;0,70;67,36;69,96;23751,920983;37856;9313
1400282;Iracema;RR;Todas;2G;0,71;47,62;47,91;14409,578122;8664;2236
1505809;Portel;PA;Todas;2G;0,71;49,49;53,39;25384,941118;51760;9606
1303007;Nhamundá;AM;Todas;2G;0,71;41,94;42,18;14105,678396;18252;3784
1717503;Pium;TO;Todas;2G;0,71;55,59;57,43;10013,728469;6641;1982
1301951;Itamarati;AM;Todas;2G;0,72;56,69;58,63;25275,985773;8029;1570
5101001;Araguaiana;MT;Todas;2G;0,72;62,23;62,18;6429,397736;3187;1087
1303908;São Paulo de Olivença;AM;Todas;2G;0,74;43,45;43,54;19745,898405;31312;5331
1707207;Dois Irmãos do Tocantins;TO;Todas;2G;0,75;39,20;39,33;3757,036181;7156;2275
5103106;Cocalinho;MT;Todas;2G;0,76;63,69;60,71;16530,643956;5295;1702
3126802;Frei Gaspar;MG;Todas;2G;0,76;18,37;18,61;626,672082;5870;1705
2100501;Alto Parnaíba;MA;Todas;2G;0,76;64,64;66,23;11132,176164;10701;2636
3128253;Guaraciama;MG;Todas;2G;0,76;47,43;46,72;390,262971;4716;1438
2205599;Lagoa do Sítio;PI;Todas;2G;0,76;14,65;14,90;804,697535;4845;1461
1506583;Santa Maria das Barreiras;PA;Todas;2G;0,78;8,63;8,23;10330,213296;17059;5141
4315321;Quevedos;RS;Todas;2G;0,78;31,72;31,40;543,359013;2704;922
5106307;Paranatinga;MT;Todas;2G;0,79;76,82;75,95;24166,141827;19148;5932
1301803;Ipixuna;AM;Todas;2G;0,80;43,61;46,20;12044,638652;22239;3721
5106158;Nova Bandeirantes;MT;Todas;2G;0,80;42,02;43,54;9606,255789;11628;3445
5003207;Corumbá;MS;Todas;2G;0,81;89,45;88,62;64962,541555;102790;27710
1304302;Urucará;AM;Todas;2G;0,81;64,88;67,39;27905,012131;17025;3410
1500404;Alenquer;PA;Todas;2G;0,83;55,18;57,44;23645,453601;52526;12106
1301308;Codajás;AM;Todas;2G;0,83;67,56;70,63;18711,50752;23187;4486
3134004;Itinga;MG;Todas;2G;0,83;40,22;41,54;1649,621864;14399;3787
1304203;Tefé;AM;Todas;2G;0,84;82,20;83,00;23704,475697;61230;12165
1720259;São Salvador do Tocantins;TO;Todas;2G;0,84;54,79;55,29;1422,032376;2812;826
3126950;Frei Lagonegro;MG;Todas;2G;0,84;12,20;13,31;167,473842;3326;902
3160454;Santo Antônio do Retiro;MG;Todas;2G;0,85;3,96;4,26;796,290027;6955;1798
3109451;Cabeceira Grande;MG;Todas;2G;0,86;37,83;38,71;1031,40886;6439;2134
5105150;Juína;MT;Todas;2G;0,87;84,50;85,63;26189,955735;38972;11930
1301407;Eirunepé;AM;Todas;2G;0,89;69,34;71,56;15011,665043;30615;6254
1200609;Tarauacá;AC;Todas;2G;0,89;57,72;62,15;20171,246335;35433;7492
3101003;Águas Vermelhas;MG;Todas;2G;0,89;37,03;37,68;1259,279655;12711;3469
5107065;Querência;MT;Todas;2G;0,90;62,94;67,19;17786,194561;12900;3657
1508050;Trairão;PA;Todas;2G;0,91;42,07;44,10;11991,055476;16751;4027
1500859;Anapu;PA;Todas;2G;0,92;51,62;51,57;11895,183507;20496;5075
1506005;Prainha;PA;Todas;2G;0,92;27,98;29,33;14786,983701;29143;6150
5108105;Tesouro;MT;Todas;2G;0,92;59,66;59,65;4169,562508;3372;1123
1400308;Mucajaí;RR;Todas;2G;0,93;51,45;51,50;12461,201871;14696;3876
3128600;Guarda-Mor;MG;Todas;2G;0,94;56,73;56,05;2069,79028;6536;2082
1505908;Porto de Moz;PA;Todas;2G;0,95;44,61;48,58;17422,918957;33463;6060
2103174;Centro Novo do Maranhão;MA;Todas;2G;0,95;33,14;35,57;8258,446394;17605;3946
